formulation,productivity,capex,opex,batches,batch time,cycle time,cost
1.318216586,0.038471506,62798658.9,245557.2501,160,462050.5254,176138.2031,6382.834284
1.318216586,0.038661621,62950837.39,246194.1171,160,462002.3261,176138.2031,6367.920202
1.318216581,0.038661621,63157296.66,237838.7177,176,445991.7166,160109.7656,6151.804086
1.318216581,0.052891561,71967546.56,290120.8222,160,458234.4932,176138.2031,5485.20059
1.318216581,0.042910878,66217091.27,260174.9132,160,461196.6038,176138.2031,6063.145823
1.318216581,0.038862647,63084577.28,246820.0271,160,461928.1832,176138.2031,6351.086328
1.318216581,0.038862647,63018413.78,246587.376,160,461744.0062,176138.2031,6345.099832
1.318216581,0.038862647,59319394.84,235446.8579,160,455161.6538,176138.2031,6058.435931
1.318216581,0.038862647,63084575.51,246819.8706,160,461928.1832,176138.2031,6351.082303
1.318216581,0.038862647,63329248.36,248243.2715,160,463177.9669,176138.2031,6387.708756
1.318216581,0.038862647,63095524.93,246931.9905,160,463110.5145,176138.2031,6353.967331
1.318216581,0.038862647,63084577.19,246820.0185,160,461928.1832,176138.2031,6351.086107
1.571151558,0.042949867,61249282.94,238369.5228,160,461928.1832,176138.2031,5549.947811
1.754653757,0.038862647,56564609.84,217811.2515,160,461928.1832,176138.2031,5604.642695
1.318216581,0.038862647,63084577.3,246820.0288,160,461928.1832,176138.2031,6351.086374
2.064816411,0.064004879,62930978.14,237330.3584,176,413179.4884,160109.7656,3708.00416
2.064816411,0.064004879,62971671.54,242068.6702,175,507042.6533,160109.7656,3782.034638
2.064816411,0.064004879,62948429.54,239875.0048,176,482071.2243,160109.7656,3747.761228
2.064816415,0.0642151,63096551.28,240367.3236,176,482075.4795,160109.7656,3743.158882
2.064816415,0.064004879,62948429.37,239874.9908,176,482071.224,160109.7656,3747.76101
2.064816411,0.064004879,62744862.81,248217.516,160,498071.5649,176138.2031,3878.10303
2.064816411,0.047463806,54416551.2,204998.4854,176,484032.7098,160109.7656,4319.048618
2.064816411,0.056697756,58381375.95,223200.1345,176,482206.9597,160109.7656,3936.666101
2.064816411,0.064004879,62948429.52,239875.0032,176,482071.2241,160109.7656,3747.761204
2.064816411,0.064004879,63043777.01,240233.0475,176,482286.7235,160109.7656,3753.355219
2.06481638,0.064004879,65820843.28,249897.898,176,487384.0405,160109.7656,3904.356996
2.064816411,0.064004879,62948429.37,239874.9913,176,482071.2241,160109.7656,3747.761018
2.064816411,0.064004879,62782946.57,239061.4628,176,481554.5818,160109.7656,3735.050604
2.064816411,0.064004879,62947848.72,239828.9419,176,481579.4373,160109.7656,3747.041551
2.064816411,0.064004879,62948429.33,239874.9878,176,482071.2241,160109.7656,3747.760963
1.754653757,0.05791401,64599878.22,247569.5196,176,482071.2241,160109.7656,4274.777744
1.571151558,0.064004879,70501243.3,276381.2871,176,482071.2241,160109.7656,4318.128406
2.064816411,0.064004879,62948429.52,239875.0038,176,482071.2241,160109.7656,3747.761213
2.064816411,0.064004879,62948429.25,239874.9813,176,482071.2241,160109.7656,3747.760862
4.227603619,0.066585986,49980732.9,179131.0682,179,390862.8225,157373.2031,2690.22175
4.227603619,0.066585986,49995374.01,180304.6081,179,422494.8028,157373.2031,2707.846177
4.227603619,0.066557865,49977936.19,179470.7874,179,395866.3592,157373.2031,2696.462515
